"","UF","ano","rend","name"
"381","AP","1990/91","0","algodao"
"382","AM","1990/91","0","algodao"
"383","BA","1990/91","175.19999999999999","algodao"
"384","CE","1990/91","225.59999999999999","algodao"
"385","DF","1990/91","0","algodao"
"386","ES","1990/91","0","algodao"
"387","GO","1990/91","51.899999999999999","algodao"
"388","MA","1990/91","1.8","algodao"
"389","MT","1990/91","71","algodao"
"390","MS","1990/91","48","algodao"
"391","MG","1990/91","119.5","algodao"
"392","PA","1990/91","8.1999999999999993","algodao"
"393","PB","1990/91","99.799999999999997","algodao"
"394","PR","1990/91","571.79999999999995","algodao"
"395","PE","1990/91","51.799999999999997","algodao"
"396","PI","1990/91","112.40000000000001","algodao"
"397","RJ","1990/91","0","algodao"
"398","RN","1990/91","114.8","algodao"
"399","RS","1990/91","0","algodao"
"400","RO","1990/91","15.5","algodao"
"401","RR","1990/91","0","algodao"
"402","SC","1990/91","0","algodao"
"403","SP","1990/91","243.59999999999999","algodao"
"404","SE","1990/91","5.5","algodao"
"405","TO","1990/91","0","algodao"
"406","AC","1991/92","0","algodao"
"407","AL","1991/92","20","algodao"
"408","AP","1991/92","0","algodao"
"409","AM","1991/92","0","algodao"
"410","BA","1991/92","202.19999999999999","algodao"
"411","CE","1991/92","238.69999999999999","algodao"
"412","DF","1991/92","0","algodao"
"413","ES","1991/92","0","algodao"
"414","GO","1991/92","55","algodao"
"415","MA","1991/92","1.8","algodao"
"416","MT","1991/92","57","algodao"
"417","MS","1991/92","69.700000000000003","algodao"
"418","MG","1991/92","114.7","algodao"
"419","PA","1991/92","5.0999999999999996","algodao"
"420","PB","1991/92","86.799999999999997","algodao"
"421","PR","1991/92","709","algodao"
"422","PE","1991/92","40.100000000000001","algodao"
"423","PI","1991/92","83.099999999999994","algodao"
"424","RJ","1991/92","0","algodao"
"425","RN","1991/92","45","algodao"
"426","RS","1991/92","0","algodao"
"427","RO","1991/92","10","algodao"
"428","RR","1991/92","0","algodao"
"429","SC","1991/92","0","algodao"
"430","SP","1991/92","230","algodao"
"431","SE","1991/92","3","algodao"
"432","TO","1991/92","5.0999999999999996","algodao"
"433","AC","1992/93","0","algodao"
"434","AL","1992/93","6.7000000000000002","algodao"
"435","AP","1992/93","0","algodao"
"436","AM","1992/93","0","algodao"
"437","BA","1992/93","127.2","algodao"
"438","CE","1992/93","206.40000000000001","algodao"
"439","DF","1992/93","0","algodao"
"440","ES","1992/93","0","algodao"
"441","GO","1992/93","38.5","algodao"
"442","MA","1992/93","4.5","algodao"
"443","MT","1992/93","60","algodao"
"444","MS","1992/93","36.200000000000003","algodao"
"445","MG","1992/93","100.7","algodao"
"446","PA","1992/93","0","algodao"
"447","PB","1992/93","37.200000000000003","algodao"
"448","PR","1992/93","371","algodao"
"449","PE","1992/93","13.5","algodao"
"450","PI","1992/93","83.099999999999994","algodao"
"451","RJ","1992/93","0","algodao"
"452","RN","1992/93","16.5","algodao"
"453","RS","1992/93","0","algodao"
"454","RO","1992/93","20","algodao"
"455","RR","1992/93","0","algodao"
"456","SC","1992/93","0","algodao"
"457","SP","1992/93","149.5","algodao"
"458","SE","1992/93","1","algodao"
"459","TO","1992/93","5.0999999999999996","algodao"
"460","AC","1993/94","0","algodao"
"461","AL","1993/94","45.299999999999997","algodao"
"462","AP","1993/94","0","algodao"
"463","AM","1993/94","0","algodao"
"464","BA","1993/94","142.5","algodao"
"465","CE","1993/94","208","algodao"
"466","DF","1993/94","0","algodao"
"467","ES","1993/94","0","algodao"
"468","GO","1993/94","52.700000000000003","algodao"
"469","MA","1993/94","4.5","algodao"
"470","MT","1993/94","72.599999999999994","algodao"
"471","MS","1993/94","39.799999999999997","algodao"
"472","MG","1993/94","90.599999999999994","algodao"
"473","PA","1993/94","5.0999999999999996","algodao"
"474","PB","1993/94","28.699999999999999","algodao"
"475","PR","1993/94","241","algodao"
"476","PE","1993/94","17.600000000000001","algodao"
"477","PI","1993/94","62.100000000000001","algodao"
"478","RJ","1993/94","0","algodao"
"479","RN","1993/94","49","algodao"
"480","RS","1993/94","0","algodao"
"481","RO","1993/94","24","algodao"
"482","RR","1993/94","0","algodao"
"483","SC","1993/94","0","algodao"
"484","SP","1993/94","145","algodao"
"485","SE","1993/94","9.3000000000000007","algodao"
"486","TO","1993/94","0","algodao"
"487","AC","1994/95","0","algodao"
"488","AL","1994/95","12.6","algodao"
"489","AP","1994/95","0","algodao"
"490","AM","1994/95","0","algodao"
"491","BA","1994/95","157","algodao"
"492","CE","1994/95","121.8","algodao"
"493","DF","1994/95","0","algodao"
"494","ES","1994/95","0","algodao"
"495","GO","1994/95","65.900000000000006","algodao"
"496","MA","1994/95","0","algodao"
"497","MT","1994/95","72.599999999999994","algodao"
"498","MS","1994/95","65.700000000000003","algodao"
"499","MG","1994/95","77","algodao"
"500","PA","1994/95","5.0999999999999996","algodao"
"501","PB","1994/95","36.899999999999999","algodao"
"502","PR","1994/95","282","algodao"
"503","PE","1994/95","18.800000000000001","algodao"
"504","PI","1994/95","55.299999999999997","algodao"
"505","RJ","1994/95","0","algodao"
"506","RN","1994/95","56.200000000000003","algodao"
"507","RS","1994/95","0","algodao"
"508","RO","1994/95","20","algodao"
"509","RR","1994/95","0","algodao"
"510","SC","1994/95","0","algodao"
"511","SP","1994/95","172.59999999999999","algodao"
"512","SE","1994/95","9","algodao"
"513","TO","1994/95","0","algodao"
"514","AC","1995/96","0","algodao"
"515","AL","1995/96","15.6","algodao"
"516","AP","1995/96","0","algodao"
"517","AM","1995/96","0","algodao"
